Activity ID;Activity Date;Activity Name;Activity Type;Elapsed Time;Distance;Max Heart Rate;Relative Effort;Commute;Activity Private Note;Activity Gear;Moving Time;Distance;Elevation Gain;Max Heart Rate;Average Heart Rate;Calories;Apparent Temperature;UV Index;Carbon Saved
14259314794;Apr 23, 2025, 5:58:45 AM;Morning Ride;Ride;1231,00;5.63;134.0;4;true;;GRVL120;1138.0;5634.2001953125;38.0;134.0;117.4375;149.0;10.670000076293945;0.0;1.2253999710083008
14265535696;Apr 23, 2025, 6:13:20 PM;Evening Yoga;Yoga;1805,00;0;117.0;3;false;;;1805.0;0.0;0.0;117.0;87.67867279052734;103.0;;;
11254034566;Apr 24, 2024, 4:12:20 AM;Morning Workout / Chest Tri;Workout;2887,00;0;104.0;5;false;;;2887.0;0.0;0.0;104.0;86.5330810546875;80.0;;;
14272928697;Apr 24, 2025, 2:18:54 PM;Afternoon Ride;Ride;1101,00;5.49;139.0;4;true;;GRVL120;1052.0;5489.7998046875;52.0;139.0;120.65347290039062;144.0;12.319999694824219;3.0;1.194000005722046
14269482076;Apr 24, 2025, 6:07:53 AM;Morning Ride;Ride;1137,00;5.57;133.0;3;true;;GRVL120;1087.0;5574.7001953125;35.0;133.0;115.26123809814453;136.0;10.25;0.0;1.212399959564209
14270891595;Apr 24, 2025, 9:39:37 AM;Lunch Trail Run;Run;3078,00;8.34;165.0;81;false;;Kiprun XT8;3023.0;8343.2998046875;173.0;165.0;153.22259521484375;618.0;11.949999809265137;4.0;
11262472688;Apr 25, 2024, 3:58:29 PM;Afternoon Run;Run;3675,00;10.02;174.0;112;false;;Kalenji Run Active;3669.0;10028.6103515625;5.968001365661621;174.0;157.8192901611328;624.0;13.369999885559082;2.0;
11258822677;Apr 25, 2024, 4:13:02 AM;Morning Workout / Back Bi;Workout;2895,00;0;108.0;5;false;;;2895.0;0.0;0.0;108.0;87.10777282714844;80.0;;;
14282915121;Apr 25, 2025, 2:46:55 PM;Afternoon Ride;Ride;3012,00;10.95;135.0;6;true;;GRVL120;2090.0;10951.5;99.0;135.0;108.0801773071289;225.0;16.219999313354492;5.0;2.3817999362945557
14278684466;Apr 25, 2025, 4:03:50 AM;Morning Weight Training;Weight Training;4039,00;0;151.0;9;false;;;4039.0;0.0;0.0;151.0;92.92002868652344;269.0;;;
14279022841;Apr 25, 2025, 6:08:29 AM;Morning Ride;Ride;1253,00;5.54;121.0;2;true;;GRVL120;1100.0;5542.10009765625;36.0;121.0;90.36653900146484;85.0;10.420000076293945;0.0;1.205399990081787
11265807666;Apr 26, 2024, 4:11:10 AM;Morning Workout / Shoulders;Workout;2926,00;0;122.0;5;false;;;2926.0;0.0;0.0;122.0;89.5372543334961;99.0;;;
14290209764;Apr 26, 2025, 10:18:43 AM;Lunch Run;Run;2968,00;8.01;169.0;63;false;;Nike Pegasus 41;2928.0;8011.2998046875;28.0;169.0;148.4813232421875;568.0;17.389999389648438;4.0;
11272528171;Apr 27, 2024, 5:01:51 AM;Morning Workout / Leg;Workout;2926,00;0;114.0;5;false;;;2926.0;0.0;0.0;114.0;89.486328125;101.0;;;
11272924142;Apr 27, 2024, 7:03:48 AM;Morning Run;Run;2142,00;6.04;181.0;79;false;;Kalenji Run Active;2130.0;6042.10009765625;5.512348175048828;181.0;161.99012756347656;372.0;10.0;1.0;
14302185722;Apr 27, 2025, 5:55:56 AM;Morning Ride;Ride;26788,00;110.61;;;false;;GRVL120;22625.0;110616.796875;1341.0;;;3416.0;10.890000343322754;0.0;
11280148557;Apr 28, 2024, 5:13:30 AM;Morning Workout / Chest Tri;Workout;3196,00;0;115.0;6;false;;;3196.0;0.0;0.0;115.0;89.88423156738281;118.0;;;
11280987758;Apr 28, 2024, 8:15:18 AM;Morning Run;Run;2704,00;7.64;179.0;86;false;;Kalenji Run Active;2665.0;7642.7099609375;5.718825817108154;179.0;159.45870971679688;468.0;12.229999542236328;2.0;
14312547184;Apr 28, 2025, 2:15:55 PM;Afternoon Ride;Ride;4407,00;8.39;;;false;;GRVL120;1478.0;8398.2001953125;43.0;;;240.0;17.0;4.0;
14311950872;Apr 28, 2025, 4:48:07 AM;Morning Ride;Ride;33752,00;118.57;;;false;;GRVL120;26350.0;118576.703125;1874.0;;;3883.0;8.170000076293945;0.0;
11288221456;Apr 29, 2024, 4:13:08 AM;Morning Workout / Back Bi;Workout;2868,00;0;108.0;6;false;;;2868.0;0.0;0.0;108.0;91.81868743896484;110.0;;;
14323331105;Apr 29, 2025, 3:21:05 PM;Afternoon Ride;Ride;1380,00;6.62;;;false;;GRVL120;1380.0;6628.2001953125;51.0;;;177.0;24.90999984741211;3.0;
14322737626;Apr 29, 2025, 4:49:55 AM;Morning Ride;Ride;35880,00;129.86;;;false;;GRVL120;27348.0;129865.796875;1554.0;;;4047.0;8.34000015258789;0.0;
